Geolocation,Commodity,Date,CPI
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-01-01,98.5531134193212
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-02-01,98.5531134193212
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-03-01,99.9408455812099
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-04-01,101.748950834472
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-05-01,101.81909267064
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-06-01,102.076098227995
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-07-01,108.1518468902
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-08-01,107.896939070017
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-09-01,110.220806572971
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-10-01,109.004758056587
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-11-01,107.925334715694
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-12-01,108.589189094165
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-01-01,109.4043691464
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-02-01,109.507171369342
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-03-01,108.017880254162
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-04-01,107.840529570067
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-05-01,108.267406936461
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-06-01,106.575692225593
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-07-01,108.833717497269
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-08-01,108.53523182529
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-09-01,110.096358938569
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-10-01,103.877370390385
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-11-01,103.558112499766
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-12-01,103.392227367873
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-01-01,102.571621406642
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-02-01,102.032667694896
